type,price,beds,bath,propertysqft,latitude,longitude,borough,neighborhood,price_per_sqft
Condo,450000,1,1,724.0,40.610069,-73.9537478,Brooklyn,Brooklyn,621.55
House,1190000,4,2,1500.0,40.5935138,-73.9556712,Manhattan,Brooklyn,793.33
Co-op,2995000,2,2,2184.207862,40.7474421,-73.9813221,Manhattan,Manhattan,1371.21
Condo,349980,3,1,2184.207862,40.7187728,-73.811168,Queens,Queens,160.23
House,649000,3,2,1257.0,40.6499215,-73.9453734,Manhattan,Brooklyn,516.31
Co-op,4695000,3,4,2600.0,40.7824395,-73.9561648,Manhattan,Manhattan,1805.77
Co-op,189999,1,1,2184.207862,40.7586799,-73.8755,Queens,Queens,86.99
House,399888,3,4,1613.0,40.8865894,-73.8585038,Manhattan,Bronx,247.92
Condo,1395000,3,4,2472.0,40.8150812,-73.9533178,Manhattan,Manhattan,564.32
House,2759000,6,6,2184.207862,40.6093711,-73.9025693,Manhattan,Brooklyn,1263.16
Condo,2995000,4,3,2135.0,40.802892,-73.957154,Manhattan,Manhattan,1402.81
Co-op,399000,1,1,2184.207862,40.7282586,-73.8513251,Queens,Queens,182.67
Multi-family,16995000,5,4,4230.0,40.7328257,-74.0048853,Manhattan,Manhattan,4017.73
Co-op,650000,2,1,1060.0,40.8511616,-73.9408472,Manhattan,Manhattan,613.21
House,2599000,4,3,3510.0,40.6063914,-73.9020181,Manhattan,Brooklyn,740.46
Townhouse,1195000,4,2,2625.0,40.685396,-73.959061,Manhattan,Brooklyn,455.24
House,1288000,3,2,1188.0,40.6229377,-74.0298947,Manhattan,Brooklyn,1084.18
Condo,2099000,2,2,1447.0,40.7019045,-73.9844236,Brooklyn,Brooklyn,1450.59
Multi-family,1275000,5,3,1920.0,40.6512263,-74.0131317,Manhattan,Brooklyn,664.06
Co-op,650000,1,1,2184.207862,40.762566,-73.9667017,Manhattan,Manhattan,297.59
Co-op,4800000,3,4,3475.0,40.778129,-73.9598269,Manhattan,Manhattan,1381.29
Multi-family,1279900,3,2,3812.0,40.8062253,-73.9393116,Manhattan,Manhattan,335.76
Multi-family,1680000,7,4,3780.0,40.785705,-73.778612,Manhattan,Queens,444.44
Co-op,299000,1,1,850.0,40.7313319,-73.8284665,Queens,Queens,351.76
Co-op,845000,1,1,2184.207862,40.7659315,-73.9773407,Manhattan,Manhattan,386.87
Co-op,415000,3,1,2184.207862,40.7678195,-73.9594251,Manhattan,Manhattan,190.0
Co-op,449000,1,2,1213.0,40.7564761,-73.7212008,Queens,Queens,370.16
Condo,1250000,3,2,1287.0,40.6925905,-73.9849373,Brooklyn,Brooklyn,971.25
Townhouse,4395000,5,4,2184.207862,40.6859683,-73.9839494,Manhattan,Brooklyn,2012.17
Co-op,315000,1,1,2184.207862,40.7507495,-73.8811907,Queens,Queens,144.22
Co-op,499000,2,1,900.0,40.6273371,-74.0262024,Brooklyn,Brooklyn,554.44
House,699000,3,2,1700.0,40.545028,-74.218133,Manhattan,Staten Island,411.18
Condo,625000,4,2,1268.0,40.6634769,-73.936924,Brooklyn,Brooklyn,492.9
House,749000,3,2,2184.207862,40.7602045,-73.8739584,Manhattan,Queens,342.92
Multi-family,949000,4,2,1600.0,40.6452346,-73.9569371,Manhattan,Brooklyn,593.12
Co-op,1495000,3,1,2184.207862,40.670754,-73.981349,Brooklyn,Brooklyn,684.46
Townhouse,2395000,6,4,3972.0,40.8351954,-73.9390016,Manhattan,Manhattan,602.97
House,1250000,3,4,3328.0,40.619844,-74.0889182,Manhattan,Staten Island,375.6
Co-op,205000,1,1,2184.207862,40.8801731,-73.91173,Bronx,Bronx,93.86
Condo,1198000,1,2,2184.207862,40.7749092,-73.9098235,Queens,Queens,548.48
House,2199000,3,3,3454.0,40.5782802,-73.9442713,Manhattan,Brooklyn,636.65
Co-op,5495000,3,2,3000.0,40.7193802,-74.0075316,Manhattan,Manhattan,1831.67
Co-op,625000,1,1,2184.207862,40.7669715,-73.9674377,Manhattan,Manhattan,286.14
House,1449999,3,2,1890.0,40.6783124,-73.928113,Manhattan,Brooklyn,767.2
House,1399000,5,4,2184.207862,40.7326463,-73.7097434,Manhattan,Queens,640.51
Co-op,525000,3,1,322.0,40.7836703,-73.9709274,Manhattan,Manhattan,1630.43
Townhouse,12000000,4,2,5500.0,40.7756853,-73.9632303,Manhattan,Manhattan,2181.82
House,1299000,3,2,1700.0,40.622512,-74.038316,Manhattan,Brooklyn,764.12
Co-op,269000,1,1,2184.207862,40.7490728,-73.8859424,Queens,Queens,123.16
Co-op,450000,1,1,2184.207862,40.777093,-73.956552,Manhattan,Manhattan,206.02
Multi-family,899999,4,2,2194.0,40.6172199,-74.1320669,Manhattan,Staten Island,410.21
House,925000,2,2,1077.0,40.6764806,-73.9446731,Manhattan,Brooklyn,858.87
Co-op,279000,1,1,600.0,40.6220567,-74.0200513,Brooklyn,Brooklyn,465.0
Condo,1795000,2,2,2184.207862,40.7954592,-73.9753123,Manhattan,Manhattan,821.81
Condo,560000,3,1,622.0,40.6423834,-74.002033,Brooklyn,Brooklyn,900.32
House,999000,3,2,1260.0,40.5792491,-73.8470867,Manhattan,Queens,792.86
Multi-family,1188000,6,2,2186.0,40.7021006,-73.7671144,Manhattan,Queens,543.46
House,948888,3,1,950.0,40.5786958,-73.938485,Manhattan,Brooklyn,998.83
Condo,735000,2,2,832.0,40.6850765,-73.9107349,Brooklyn,Brooklyn,883.41
Co-op,3600000,3,4,2184.207862,40.7719126,-73.967281,Manhattan,Manhattan,1648.19
Co-op,789000,2,1,2184.207862,40.7432035,-74.0015019,Manhattan,Manhattan,361.23
House,569000,3,1,2184.207862,40.7079268,-73.7400399,Manhattan,Queens,260.51
Condo,1700000,2,2,1135.0,40.7315509,-74.0013914,Manhattan,Manhattan,1497.8
Condo,12995000,4,4,4155.0,40.7207039,-74.0027289,Manhattan,Manhattan,3127.56
Co-op,295000,2,1,613.0,40.8233518,-73.9515728,Manhattan,Manhattan,481.24
Co-op,625000,1,1,650.0,40.7395218,-73.9802307,Manhattan,Manhattan,961.54
Condo,399000,3,1,391.0,40.7668236,-73.9239725,Manhattan,Queens,1020.46
Condo,5700000,3,4,2357.0,40.7242197,-74.0056368,Manhattan,Manhattan,2418.33
Condo,618000,3,2,2184.207862,40.5846429,-73.9407155,Brooklyn,Brooklyn,282.94
Co-op,149999,1,1,694.0,40.9049984,-73.9065719,Bronx,Bronx,216.14
Condo,650000,3,1,550.0,40.7935585,-73.9656011,Manhattan,Manhattan,1181.82
Multi-family,1990000,5,2,2184.207862,40.7398861,-73.8305343,Manhattan,Queens,911.09
Co-op,550000,1,1,2184.207862,40.7908539,-73.9681725,Manhattan,Manhattan,251.81
Co-op,279000,1,1,2184.207862,40.8809305,-73.9107494,Bronx,Bronx,127.74
Co-op,399000,2,1,1090.0,40.7455899,-73.8778899,Queens,Queens,366.06
Townhouse,2495000,3,2,4125.0,40.7043492,-73.9310947,Manhattan,Brooklyn,604.85
Co-op,299000,3,1,394.0,40.7571764,-73.9656764,Manhattan,Manhattan,758.88
Condo,239500,1,1,864.0,40.6414367,-74.0802253,Staten Island,Staten Island,277.2
Co-op,235000,1,1,850.0,40.8858375,-73.9088586,Bronx,Riverdale,276.47
House,680000,1,1,2184.207862,40.7810446,-73.9519172,Manhattan,Manhattan,311.33
House,629000,3,3,1280.0,40.6086959,-74.0859469,Manhattan,Staten Island,491.41
House,2200000,3,2,3760.0,40.5450461,-74.1858995,Manhattan,Staten Island,585.11
House,380000,3,2,600.0,40.6789407,-73.8712984,Manhattan,Brooklyn,633.33
Co-op,599000,2,2,2184.207862,40.7230099,-73.84699,Queens,Queens,274.24
Townhouse,530000,3,2,1280.0,40.6155659,-74.0802854,Manhattan,Staten Island,414.06
Condop,598000,1,1,2184.207862,40.7520734,-73.9690003,Manhattan,Manhattan,273.78
Condo,1449000,4,2,1632.0,40.6990196,-73.9587153,Manhattan,Brooklyn,887.87
Co-op,459000,1,1,2184.207862,40.677099,-73.9444709,Brooklyn,Brooklyn,210.14
Condo,745000,2,2,2184.207862,40.6886854,-73.9402301,Brooklyn,Brooklyn,341.08
Co-op,440000,2,1,2184.207862,40.7499534,-73.8912443,Queens,Queens,201.45
Condo,7750000,3,4,2855.0,40.7868701,-73.9686086,Manhattan,Manhattan,2714.54
Condo,990000,1,1,791.0,40.7804721,-73.9871434,Manhattan,Manhattan,1251.58
Multi-family,1150000,4,3,2184.207862,40.7569734,-73.8811062,Manhattan,Queens,526.51
Condo,2300000,1,2,1100.0,40.7761296,-73.960619,Manhattan,Manhattan,2090.91
Condo,350000,1,1,738.0,40.5781826,-74.1626869,Staten Island,Staten Island,474.25
Multi-family,1900000,5,4,3640.0,40.8188422,-73.9456834,Manhattan,Manhattan,521.98
Multi-family,2498000,6,6,3184.0,40.7644884,-73.7660572,Manhattan,Queens,784.55
Co-op,3500000,3,2,2184.207862,40.7361563,-73.9977295,Manhattan,Manhattan,1602.41
Co-op,245000,3,1,713.0,40.7379227,-73.8470718,Manhattan,Queens,343.62
Condo,8495000,3,4,4781.0,40.7189873,-74.0038646,Manhattan,Manhattan,1776.82
Condo,12500000,4,4,2938.0,40.714922,-74.0070262,Manhattan,Manhattan,4254.59
Condo,500000,1,2,2184.207862,40.6586064,-73.9488175,Manhattan,Brooklyn,228.92
Condo,1895000,3,2,1929.0,40.7647904,-73.9890812,Manhattan,Manhattan,982.37
Co-op,189900,1,1,600.0,40.5941381,-73.963948,Brooklyn,Brooklyn,316.5
Co-op,5500000,3,4,2184.207862,40.7819874,-73.9578067,Manhattan,Manhattan,2518.08
Condo,10850000,4,2,4372.0,40.7895088,-73.9778147,Manhattan,Manhattan,2481.7
Multi-family,999000,5,4,1980.0,40.8232894,-73.8169443,Manhattan,Bronx,504.55
Condo,2195000,3,2,1708.0,40.7629604,-73.9705452,Manhattan,Manhattan,1285.13
Multi-family,1260000,7,2,2000.0,40.6186892,-73.9952499,Manhattan,Brooklyn,630.0
Co-op,675000,1,1,2184.207862,40.7443659,-74.0025913,Manhattan,Manhattan,309.04
Co-op,229000,1,1,650.0,40.6308291,-74.0250165,Brooklyn,Brooklyn,352.31
Multi-family,1275000,6,5,2500.0,40.5423923,-74.1955899,Manhattan,Staten Island,510.0
Condo,5495000,5,4,4014.0,40.7141198,-74.0066281,Manhattan,Manhattan,1368.96
Co-op,850000,2,2,2184.207862,40.6965776,-73.9883987,Brooklyn,Brooklyn,389.16
House,450000,4,3,2184.207862,40.8904909,-73.8606171,Manhattan,Bronx,206.02
Multi-family,950000,3,2,2184.207862,40.7689418,-73.8785452,Manhattan,Queens,434.94
House,730000,4,3,1648.0,40.6987,-73.761794,Manhattan,Queens,442.96
Condo,830000,2,2,2184.207862,40.7624173,-73.7710902,Queens,Queens,380.0
House,829000,5,4,2184.207862,40.6935674,-73.7855565,Manhattan,Queens,379.54
Condo,555000,3,1,2184.207862,40.7835114,-73.9776775,Manhattan,Manhattan,254.1
House,888000,4,2,2184.207862,40.7367436,-73.7039037,Manhattan,Queens,406.55
Multi-family,1149000,6,3,2600.0,40.5781241,-73.8449946,Manhattan,Queens,441.92
Condo,499000,2,1,825.0,40.620502,-74.0396973,Brooklyn,Brooklyn,604.85
Condo,450000,2,1,1249.0,40.5894946,-73.7896353,Queens,Queens,360.29
Multi-family,3900000,6,3,2184.207862,40.6632412,-73.7625294,Manhattan,Queens,1785.54
House,558000,3,2,1108.0,40.5463363,-74.1420026,Manhattan,Staten Island,503.61
Multi-family,1695000,4,2,2184.207862,40.6768411,-73.9867935,Manhattan,Brooklyn,776.03
House,725000,5,2,2184.207862,40.6702491,-73.7454183,Manhattan,Queens,331.93
Co-op,940000,3,2,2184.207862,40.7553599,-73.88722,Queens,Queens,430.36
Condo,539000,2,2,821.0,40.6145816,-73.9463149,Brooklyn,Brooklyn,656.52
Co-op,99000,1,1,859.0,40.8366623,-73.9239586,Bronx,Bronx,115.25
Co-op,995000,3,2,1300.0,40.776763,-73.9625093,Manhattan,Manhattan,765.38
Condo,2550000,3,2,2400.0,40.6763366,-74.0001966,Brooklyn,Brooklyn,1062.5
Co-op,345000,2,1,1000.0,40.5871907,-73.9840965,Manhattan,Brooklyn,345.0
House,879000,4,2,2240.0,40.5708089,-74.1179169,Manhattan,Staten Island,392.41
Co-op,945000,2,1,2184.207862,40.7813792,-73.9824979,Manhattan,Manhattan,432.65
House,939999,3,2,3096.0,40.7146332,-73.7305803,Manhattan,Queens,303.62
Co-op,500000,3,2,1200.0,40.7329909,-73.8586242,Manhattan,Queens,416.67
Co-op,475000,1,1,2184.207862,40.7920657,-73.9663587,Manhattan,Manhattan,217.47
House,1288000,3,4,2184.207862,40.7701118,-73.8892017,Manhattan,Queens,589.69
Townhouse,1238000,3,2,1500.0,40.7367847,-73.8477757,Manhattan,Queens,825.33
Co-op,1450000,2,2,2184.207862,40.7717467,-73.9805466,Manhattan,Manhattan,663.86
Co-op,370000,2,1,800.0,40.6033288,-74.0160805,Brooklyn,Brooklyn,462.5
Condo,595000,1,1,574.0,40.8080535,-73.9426066,Manhattan,Manhattan,1036.59
Condo,2799000,3,3,2350.0,40.6676042,-73.9931265,Manhattan,Brooklyn,1191.06
Co-op,289000,1,1,520.0,40.6339937,-74.0363466,Brooklyn,Brooklyn,555.77
Co-op,595000,1,1,2184.207862,40.7211983,-73.9787559,Manhattan,Manhattan,272.41
Townhouse,13995000,5,2,6815.0,40.7813836,-73.9776937,Manhattan,Manhattan,2053.56
Co-op,2095000,4,4,2184.207862,40.7579677,-73.9636757,Manhattan,Manhattan,959.16
Co-op,585000,3,1,1050.0,40.7512505,-73.8814433,Manhattan,Queens,557.14
House,699000,3,2,1538.0,40.6059609,-74.1644799,Manhattan,Staten Island,454.49
Condo,340000,1,1,850.0,40.5777691,-73.9719866,Brooklyn,Brooklyn,400.0
Condo,15500000,5,5,4193.0,40.7766637,-73.9615947,Manhattan,Manhattan,3696.64
Co-op,199999,1,1,550.0,40.6079619,-73.9549426,Brooklyn,Brooklyn,363.63
Co-op,799000,2,2,1043.0,40.6985714,-73.9881911,Brooklyn,Brooklyn,766.06
House,888888,4,3,2088.0,40.5469948,-74.1413764,Manhattan,Staten Island,425.71
House,1690000,3,2,1536.0,40.6042182,-73.946797,Manhattan,Brooklyn,1100.26
Condo,8950000,2,2,2270.0,40.7412267,-73.9987741,Manhattan,Manhattan,3942.73
House,1449000,3,4,3600.0,40.613153,-74.1076394,Manhattan,Staten Island,402.5
Condo,1295000,2,2,1160.0,40.7822235,-73.9509367,Manhattan,Manhattan,1116.38
Co-op,599000,1,1,800.0,40.7142822,-73.9792183,Manhattan,Manhattan,748.75
House,628000,3,2,960.0,40.5883038,-74.0928759,Manhattan,Staten Island,654.17
Condo,593000,2,2,1312.0,40.6151849,-74.0646359,Staten Island,Staten Island,451.98
House,634900,2,2,2184.207862,40.7123648,-73.7530514,Manhattan,Queens,290.68
Condo,499900,2,2,960.0,40.5741868,-74.0960192,Manhattan,Staten Island,520.73
Condo,540000,3,1,509.0,40.7478487,-73.9775903,Manhattan,Manhattan,1060.9
House,1950000,3,2,2184.207862,40.721482,-73.7883218,Manhattan,Queens,892.77
Co-op,379000,2,1,2184.207862,40.7286188,-73.8616623,Queens,Queens,173.52
Co-op,299000,1,1,800.0,40.7365158,-73.8687964,Queens,Queens,373.75
Multi-family,850000,6,3,2230.0,40.8760983,-73.9021193,Manhattan,Bronx,381.17
Multi-family,899000,4,3,1892.0,40.6344613,-73.9042326,Manhattan,Brooklyn,475.16
House,699000,3,3,2184.207862,40.8163884,-73.8461253,Manhattan,Bronx,320.02
Condo,579000,2,2,750.0,40.75467,-73.821996,Queens,Queens,772.0
House,585000,3,2,1008.0,40.6302304,-74.142966,Manhattan,Staten Island,580.36
Co-op,579000,2,1,2184.207862,40.7531191,-73.8818757,Queens,Queens,265.08
Multi-family,499000,3,3,2184.207862,40.6370243,-73.909613,Manhattan,Brooklyn,228.46
House,1250000,3,2,2072.0,40.6321382,-74.0806123,Manhattan,Staten Island,603.28
Multi-family,899000,4,3,2184.207862,40.7431111,-73.8574241,Manhattan,Queens,411.59
Townhouse,1979000,5,2,3150.0,40.6908422,-73.9117096,Manhattan,Brooklyn,628.25
House,599000,3,2,780.0,40.5880538,-74.0858781,Manhattan,Staten Island,767.95
House,779000,4,2,2188.0,40.6445045,-74.0818972,Manhattan,Staten Island,356.03
Townhouse,25000000,6,6,2184.207862,40.7659809,-73.9689839,Manhattan,Manhattan,11445.8
Co-op,1195000,2,2,2184.207862,40.783637,-73.9719146,Manhattan,Manhattan,547.11
Condo,1995000,2,3,1838.0,40.720539,-73.979335,Manhattan,Manhattan,1085.42
Co-op,564900,1,1,769.0,40.697478,-73.988335,Brooklyn,Brooklyn,734.59
Multi-family,1250000,6,4,2184.207862,40.6800398,-73.8914993,Manhattan,Brooklyn,572.29
Condo,15000000,4,4,2184.207862,40.7563378,-73.982217,Manhattan,Manhattan,6867.48
Multi-family,1399000,4,3,2283.0,40.7580197,-73.9140215,Manhattan,Queens,612.79
House,1250000,4,2,3160.0,40.585661,-74.1059417,Manhattan,Staten Island,395.57
Co-op,335000,1,1,2184.207862,40.7547282,-73.8859706,Manhattan,Queens,153.37
Multi-family,685000,4,2,2000.0,40.8194513,-73.9001792,Manhattan,Bronx,342.5
Co-op,279999,2,1,666.0,40.5844399,-73.9316116,Brooklyn,Brooklyn,420.42
Co-op,418000,2,1,2184.207862,40.7155199,-73.8530199,Queens,Queens,191.37
Condo,520000,2,1,741.0,40.8536742,-73.9347275,Manhattan,Manhattan,701.75
House,599900,3,2,1248.0,40.5922258,-74.1508322,Manhattan,Staten Island,480.69
Multi-family,885000,6,5,2680.0,40.8236783,-73.8705222,Manhattan,Bronx,330.22
Co-op,258000,1,1,650.0,40.5759986,-73.960785,Brooklyn,Brooklyn,396.92
Condo,700000,2,2,1124.0,40.7942255,-73.7950678,Queens,Queens,622.78
Multi-family,25750000,6,6,2184.207862,40.7747817,-73.9639595,Manhattan,Manhattan,11789.17
House,999000,4,3,2184.207862,40.7492036,-73.7045081,Manhattan,Queens,457.37
Condo,500000,1,1,720.0,40.7983883,-73.937888,Manhattan,Manhattan,694.44
House,695000,3,2,1926.0,40.6713641,-73.8673475,Manhattan,Brooklyn,360.85
Co-op,215000,3,1,2184.207862,40.7337965,-73.8620837,Manhattan,Queens,98.43
House,759000,3,1,2184.207862,40.7142473,-73.8830471,Manhattan,Queens,347.49
Co-op,375000,1,1,1185.0,40.638118,-74.073964,Staten Island,Staten Island,316.46
Co-op,389888,1,1,730.0,40.7479556,-73.8929488,Manhattan,Queens,534.09
Co-op,285000,1,1,900.0,40.5811062,-73.966749,Brooklyn,Brooklyn,316.67
Co-op,2795000,4,2,2184.207862,40.7975649,-73.9720384,Manhattan,Manhattan,1279.64
Condo,674999,3,1,1299.0,40.6403656,-74.0737574,Staten Island,Staten Island,519.63
Townhouse,12995000,4,4,5608.0,40.7694487,-73.9634625,Manhattan,Manhattan,2317.23
House,759000,3,2,1260.0,40.6184347,-73.9113421,Manhattan,Brooklyn,602.38
Condo,995000,2,2,1030.0,40.6655513,-73.9922171,Brooklyn,Brooklyn,966.02
Co-op,229000,1,1,2184.207862,40.5874249,-73.9487987,Brooklyn,Brooklyn,104.84
Co-op,239000,1,1,800.0,40.880985,-73.9102329,Bronx,Bronx,298.75
Co-op,315000,2,1,2184.207862,40.8101633,-73.9387972,Manhattan,Manhattan,144.22
House,1100000,5,3,2192.0,40.6500222,-73.844778,Manhattan,Queens,501.82
Co-op,225000,1,1,2184.207862,40.7753572,-73.9085482,Queens,Queens,103.01
House,868000,3,2,1484.0,40.5802397,-74.1018122,Manhattan,Staten Island,584.91
Multi-family,1380000,5,3,2184.207862,40.7600366,-73.8692081,Manhattan,Queens,631.81
House,1100000,4,2,1800.0,40.5103369,-74.2424867,Manhattan,Staten Island,611.11
Co-op,865000,1,1,2184.207862,40.743373,-73.983626,Manhattan,Manhattan,396.02
House,749000,3,2,1800.0,40.6105648,-74.1237991,Manhattan,Staten Island,416.11
Multi-family,775000,5,2,1600.0,40.8166622,-73.8139448,Manhattan,Bronx,484.38
Co-op,2395000,2,2,1650.0,40.7588081,-73.9647057,Manhattan,Manhattan,1451.52
Condo,700000,1,2,900.0,40.8211582,-73.9445475,Manhattan,Manhattan,777.78
Condo,450000,3,1,494.0,40.646643,-74.011966,Brooklyn,Brooklyn,910.93
Co-op,280000,3,1,2184.207862,40.7737792,-73.9495867,Manhattan,Manhattan,128.19
Condo,3890000,3,4,2446.0,40.7518502,-73.9725168,Manhattan,Manhattan,1590.35
Co-op,198000,1,1,2184.207862,40.720847,-73.858929,Queens,Queens,90.65
House,1099000,3,2,1092.0,40.6038744,-74.0739123,Manhattan,Staten Island,1006.41
Co-op,779000,1,1,800.0,40.792004,-73.9767816,Manhattan,Manhattan,973.75
Multi-family,1880000,5,2,1850.0,40.6184547,-73.9949244,Manhattan,Brooklyn,1016.22
House,509000,3,1,1100.0,40.8181427,-73.8105454,Manhattan,Bronx,462.73
Condo,499000,1,1,845.0,40.611469,-73.954103,Brooklyn,Brooklyn,590.53
Co-op,204888,3,1,2184.207862,40.7284499,-73.8492399,Queens,Queens,93.8
Co-op,7500000,3,2,6000.0,40.7227148,-73.9993678,Manhattan,Manhattan,1250.0
Condo,395000,1,1,519.0,40.7267616,-73.8294609,Manhattan,Queens,761.08
Multi-family,760000,4,2,1490.0,40.6100159,-74.0754726,Manhattan,Staten Island,510.07
House,988000,4,3,1552.0,40.7264779,-73.8093514,Manhattan,Queens,636.6
Condo,528000,2,1,753.0,40.7267616,-73.8294609,Manhattan,Queens,701.2
Multi-family,949000,5,4,2184.207862,40.6651608,-73.8881575,Manhattan,Brooklyn,434.48
Condo,420000,2,1,840.0,40.5945609,-74.1596635,Staten Island,Staten Island,500.0
Condo,1750000,3,2,1494.0,40.7847793,-73.9778528,Manhattan,Manhattan,1171.35
Co-op,268000,1,1,850.0,40.7741978,-73.8256676,Queens,Queens,315.29
House,849000,3,2,2184.207862,40.7398873,-73.8506134,Manhattan,Queens,388.7
Multi-family,1095000,3,2,2184.207862,40.757489,-73.9116062,Manhattan,Queens,501.33
Condo,4295000,3,2,2615.0,40.7688045,-73.9862514,Manhattan,Manhattan,1642.45
Multi-family,720000,3,2,2184.207862,40.6899814,-73.8185297,Manhattan,Queens,329.64
Multi-family,1900000,3,2,3500.0,40.8462523,-73.8671523,Manhattan,Bronx,542.86
House,729999,3,2,1056.0,40.6762428,-73.7945184,Manhattan,Queens,691.29
Co-op,425000,3,1,2184.207862,40.7957436,-73.9699861,Manhattan,Manhattan,194.58
House,848000,3,3,1080.0,40.6180243,-73.9971092,Manhattan,Brooklyn,785.19
Co-op,213000,3,1,430.0,40.6339914,-73.9689071,Brooklyn,Brooklyn,495.35
Multi-family,795000,3,2,1725.0,40.6781645,-73.9185084,Manhattan,Brooklyn,460.87
Condo,1350000,2,1,2184.207862,40.6799762,-73.9787904,Manhattan,Brooklyn,618.07
Co-op,649000,2,2,1500.0,40.7568337,-73.715194,Queens,Queens,432.67
Co-op,439000,2,1,900.0,40.7877465,-73.7810708,Queens,Queens,487.78
Multi-family,1699000,5,5,2184.207862,40.7691484,-73.9073703,Manhattan,Queens,777.86
Condo,2375000,2,2,986.0,40.7478785,-73.9444755,Manhattan,Queens,2408.72
Co-op,349999,1,1,2184.207862,40.7318958,-73.8599645,Queens,Queens,160.24
House,425000,2,1,2184.207862,40.6779035,-73.799284,Manhattan,Queens,194.58
House,1650000,3,4,2272.0,40.5799535,-73.9383472,Manhattan,Brooklyn,726.23
House,699000,3,2,2184.207862,40.64539,-73.8897652,Manhattan,Brooklyn,320.02
Co-op,1150000,1,1,984.0,40.6946221,-73.9969945,Brooklyn,Brooklyn,1168.7
House,2399000,5,5,2184.207862,40.6115517,-73.9061979,Manhattan,Brooklyn,1098.34
Co-op,318888,1,1,875.0,40.736926,-73.8577614,Queens,Queens,364.44
Co-op,799000,2,2,1549.0,40.7568337,-73.715194,Queens,Queens,515.82
Co-op,489000,2,1,950.0,40.620502,-74.0396973,Brooklyn,Brooklyn,514.74
Co-op,398000,2,1,900.0,40.6337679,-74.0305471,Brooklyn,Brooklyn,442.22
House,1190000,3,2,1088.0,40.5787747,-73.9401956,Manhattan,Brooklyn,1093.75
Townhouse,795000,5,2,2184.207862,40.6678086,-73.8739629,Manhattan,Brooklyn,363.98
Multi-family,750000,3,4,2184.207862,40.6463635,-73.9325263,Manhattan,Brooklyn,343.37
Condo,899999,3,3,1750.0,40.7654814,-73.8178731,Queens,Queens,514.29
Condo,1325000,3,2,1597.0,40.6163434,-74.0377889,Brooklyn,Brooklyn,829.68
Townhouse,595000,1,2,846.0,40.6749628,-73.9401841,Brooklyn,Brooklyn,703.31
Condo,330000,1,1,726.0,40.6299335,-74.0999243,Staten Island,Staten Island,454.55
Condo,2998000,3,3,1763.0,40.7465758,-73.9569744,Manhattan,Queens,1700.51
Co-op,425000,2,1,2184.207862,40.699914,-73.936622,Brooklyn,Brooklyn,194.58
Co-op,345000,2,1,1000.0,40.8819273,-73.9172822,Bronx,Bronx,345.0
Condo,999000,2,2,1187.0,40.7560001,-73.8293002,Queens,Queens,841.62
House,450000,3,2,2184.207862,40.681047,-73.754428,Manhattan,Queens,206.02
Co-op,135000,2,1,750.0,40.8224272,-73.8900397,Bronx,Bronx,180.0
Condo,261250,2,1,857.0,40.8245968,-73.8898403,Bronx,Bronx,304.84
Condo,728000,3,2,1450.0,40.7436792,-73.8983202,Queens,Queens,502.07
Multi-family,3200000,3,2,3735.0,40.8093495,-73.9398627,Manhattan,Manhattan,856.76
Condo,1950000,3,3,1300.0,40.7770634,-73.9522998,Manhattan,Manhattan,1500.0
Co-op,600000,2,2,900.0,40.8535911,-73.9359601,Manhattan,Manhattan,666.67
Condo,569000,1,1,739.0,40.604365,-73.9757485,Brooklyn,Brooklyn,769.96
Co-op,749000,1,1,2184.207862,40.7241044,-74.0035529,Manhattan,Manhattan,342.92
House,2488000,4,2,3850.0,40.5762337,-73.9511136,Manhattan,Brooklyn,646.23
Multi-family,1138000,5,3,1026.0,40.6240315,-73.9954118,Manhattan,Brooklyn,1109.16
Multi-family,974998,7,2,2184.207862,40.675444,-73.8823121,Manhattan,Brooklyn,446.39
Co-op,300000,3,1,600.0,40.6372695,-73.9712947,Brooklyn,Brooklyn,500.0
House,729000,3,3,2184.207862,40.7052223,-73.7583006,Manhattan,Queens,333.76
Co-op,750000,2,2,2184.207862,40.7651716,-73.9678719,Manhattan,Manhattan,343.37
House,599000,3,2,1120.0,40.5863749,-74.1470603,Manhattan,Staten Island,534.82
Townhouse,11950000,6,5,5336.0,40.772751,-73.9650884,Manhattan,Manhattan,2239.51
Co-op,825000,1,2,1100.0,40.7766673,-73.9439269,Manhattan,Manhattan,750.0
House,800000,3,2,2184.207862,40.6899365,-73.9294828,Manhattan,Brooklyn,366.27
Co-op,289000,3,1,2184.207862,40.646116,-73.98134,Brooklyn,Brooklyn,132.31
Condo,4750000,4,4,4100.0,40.7375173,-73.9979625,Manhattan,Manhattan,1158.54
Co-op,899999,2,1,2184.207862,40.7308571,-73.9878596,Manhattan,Manhattan,412.05
Townhouse,868000,2,2,1152.0,40.7259203,-73.8814296,Manhattan,Queens,753.47
Condo,3995000,3,3,1637.0,40.7435613,-74.0063336,Manhattan,Manhattan,2440.44
House,1500000,3,2,1240.0,40.6045606,-74.0114555,Manhattan,Brooklyn,1209.68
House,625000,4,2,2184.207862,40.6283989,-73.9334448,Manhattan,Brooklyn,286.14
House,520000,3,2,1705.0,40.8536129,-73.8933593,Manhattan,Bronx,304.99
Multi-family,749900,5,2,1400.0,40.6754664,-73.8780744,Manhattan,Brooklyn,535.64
